provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:27:25,Texaco Olton,GP11385,Type 2,GeniePoint,43,Available,null,1,,,"10-24 Warwick Road
Solihull
West Midlands
B92 7HS",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:27:51,Sure Hotel by Best Western Birmingham South,CM-24267,CCS,GeniePoint,50,Charging,null,1,,,"47-49 Sherbourne Road
Birmingham
West Midlands
B27 6DX",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:28:14,null,null,null,GeniePoint,null,null,null,1,,,null,
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:28:45,Fox Hollies Leisure Centre,CM-70523,Type 2,GeniePoint,22,Out of service,null,1,,,"Shirley Road
Acock's Green
Birmingham
West Midlands
B27 7NS",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:29:10,West Way Nissan Birmingham South,SGTE - 110200018,null,POLAR,null,Out of service,null,1,,,"884 Warwick Road
Birmingham
West Midlands
B11 2ES",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:29:36,Fox Hollies Leisure Centre,CM-70523,Type 2,POLAR,22,Out of service,null,1,,,"Shirley Road
Acock's Green
Birmingham
West Midlands
B27 7NS",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:30:01,Wells Lane Retail Park,6452005-1,CCS,InstaVolt,50,Available,null,1,,,"Coventry Road
Birmingham
West Midlands
B26 3JA",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:30:27,BJ’s Bingo Club,CM-10899,Type 2,POLAR,7,Out of service,null,1,,,"250A Mackadown Lane
Kitts Green
Birmingham
West Midlands
B33 0LE",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:30:52,,Erik-Thor,null,Restrictions,null,Available,null,1,,,"Jaguar Visitor Centre, Gate 1
Chester Road
Birmingham
West Midlands
B35 7RA",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:31:23,Robins & Day Peugeot,EK-1326P,null,Pod Point,null,Available,null,1,,,"857 Tyburn Road
Birmingham
West Midlands
B24 9NY",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:31:52,Texaco Olton,GP11385,Type 2,GeniePoint,43,Available,null,1,,,"10-24 Warwick Road
Solihull
West Midlands
B92 7HS",
zapmap,test,Birmingham,2020-08-21 18:26:35,2020-08-21 18:32:18,Asda Solihull,CM-2596,Type 2,Restrictions,3,Available,null,1,,,"Parkgate
Stratford Road
Solihull
West Midlands
B90 3GG",
